Na,K,Cl,Inference_Time
6.2,4.8,13.041351,2541
14.2,17.200001,37.255291,1269
4.8,3.3,10.234543,1263
5.4,3.4,11.044681,1255
5.2,4.3,11.064138,1261
5.5,4.7,11.847705,1255
5.4,4.0,11.245625,1261
5.6,4.6,11.86729,1255
5.7,5.1,12.862377,1261
2.5,2.0,5.841968,1255
2.6,1.5,4.598117,1261
5.1,4.9,11.794822,1255
13.0,10.2,29.424702,1261
3.1,2.9,7.260613,1255
6.1,4.9,13.060302,1261
3.2,1.5,5.767025,1255
4.7,3.7,10.346159,1261
7.8,6.3,17.410114,1255
3.7,2.7,8.215705,1261
3.8,3.6,8.901205,1255
6.1,5.8,13.943199,1261
7.7,1.5,13.407785,1255
3.6,3.7,8.612957,1261
8.1,3.4,16.288136,1255
12.8,9.4,27.808956,1261
3.0,1.9,6.193417,1258
9.6,5.2,19.297871,1261
2.2,2.0,5.358016,1255
5.3,3.0,10.790285,1260
7.4,3.9,15.008135,1255
5.7,3.2,11.527718,1261
7.9,4.0,15.980762,1255
7.8,4.0,15.760646,1261
2.2,2.7,5.30658,1255
5.9,5.2,13.120405,1261
4.9,0.9,8.880074,1255
5.1,8.2,15.213115,1269
4.7,2.6,9.553492,1256
5.2,2.7,10.444189,1263
2.5,3.8,6.660581,1255
8.7,5.2,18.0187,1261
5.7,4.7,12.107611,1255
2.1,3.5,5.752997,1261
7.9,5.4,16.794769,1255
5.8,2.4,10.029573,1261
12.1,9.0,26.527239,1255
22.1,2.0,23.962341,1261
0.9,0.6,2.142444,1255
3.0,2.0,6.528895,1269
8.3,1.4,14.474362,1256
3.2,5.0,8.950565,1263
7.4,10.7,17.888929,1255
13.3,0.4,22.499336,1267
12.6,5.5,22.795666,1267
11.7,8.5,25.294664,1266
6.5,2.4,11.471399,1255
5.1,4.7,11.295739,1261
10.4,8.3,23.847717,1255
9.8,2.2,17.2174,1261
5.8,4.2,12.163616,1255
9.9,6.7,21.049309,1261
9.4,5.7,19.368595,1255
4.7,3.9,10.209391,1261
9.0,4.5,18.256042,1255
2.6,0.9,4.828283,1261
2.9,2.0,6.396436,1263
6.9,5.0,14.310951,1265
17.0,3.1,29.236628,1255
2.3,4.9,8.384825,1261
8.3,3.9,16.869738,1255
5.5,3.7,11.310385,1261
6.0,4.4,12.545189,1255
6.0,5.4,13.45949,1261
4.1,2.1,7.70069,1255
3.8,7.2,13.950408,1261
5.4,3.7,11.193594,1255
3.4,3.0,7.948587,1260
1.7,5.8,9.54746,1255
3.2,6.4,12.51583,1261
5.6,2.9,11.259787,1255
12.0,8.2,25.027851,1261
8.2,6.3,18.58172,1255
6.1,3.7,12.199982,1261
2.9,4.7,8.371233,1255
8.4,5.5,18.207985,1261
7.6,4.9,15.566508,1255
4.5,3.9,9.890071,1261
8.1,2.8,14.681777,1255
3.7,1.5,6.85941,1261
2.0,2.2,4.943236,1255
5.7,9.1,16.802097,1261
4.3,0.7,7.861983,1255
1.7,4.5,7.248073,1269
17.799999,14.0,39.189678,1259
6.4,2.7,11.732342,1261
3.7,4.7,9.131018,1255
6.8,5.7,14.782129,1261
4.9,2.6,9.860945,1255
3.5,9.2,16.031725,1261
8.3,7.2,19.17017,1255
6.8,2.0,12.026911,1261
3.4,7.0,13.528468,1254
7.7,7.3,18.028673,1261
7.7,3.1,14.97228,1255
8.8,3.9,18.018164,1261
9.6,5.3,19.333874,1255
9.4,3.9,19.323452,1261
5.5,4.3,11.681805,1255
10.7,7.1,22.096363,1261
9.0,1.9,15.796829,1255
5.5,7.7,15.055558,1261
5.9,3.3,11.909902,1256
6.7,3.8,13.573158,1261
3.5,9.0,15.835154,1255
5.4,4.7,11.712335,1261
5.8,2.5,10.3112,1255
2.5,7.2,13.179338,1261
5.0,9.3,16.373196,1255
7.1,2.8,12.909014,1261
3.7,5.1,10.037823,1255
6.2,5.1,13.490439,1261
4.7,3.1,9.87053,1255
4.0,3.2,9.131364,1261
5.9,2.3,10.309364,1255
6.7,9.1,17.124434,1261
9.3,7.0,21.051054,1254
5.9,6.1,13.998885,1261
3.1,3.1,7.359535,1255
20.5,10.3,42.568687,1261
5.6,3.5,11.364323,1255
3.4,2.1,7.059201,1261
8.5,6.4,19.245966,1256
5.0,3.9,10.681898,1261
6.1,3.4,12.307308,1256
3.3,1.8,6.035069,1261
4.9,3.6,10.640533,1255
3.4,5.8,11.58189,1261
